"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"355","01","B1 & Below",">100 - 300","102.21","Q3 2017"
"356","01","B1 & Below",">300","40.45","Q3 2017"
"357","01","Level 1","30 & Below","219.46","Q3 2017"
"358","01","Level 1",">30 - 100","181.62","Q3 2017"
"359","01","Level 1",">100 - 300","88.93","Q3 2017"
"360","01","Level 1",">300","114.43","Q3 2017"
"361","01","Level 2 & 3","30 & Below","118.50","Q3 2017"
"362","01","Level 2 & 3",">30 - 100","92.81","Q3 2017"
"363","01","Level 2 & 3",">100 - 300","79.31","Q3 2017"
"364","01","Level 2 & 3",">300","58.78","Q3 2017"
"365","01","Level 4 & Above","30 & Below","108.40","Q3 2017"
"366","01","Level 4 & Above",">30 - 100","69.24","Q3 2017"
"367","01","Level 4 & Above",">100 - 300","76.32","Q3 2017"
"368","01","Level 4 & Above",">300","NA","Q3 2017"
"369","01","B1 & Below","30 & Below","136.83","Q4 2017"
"370","01","B1 & Below",">30 - 100","128.11","Q4 2017"
"371","01","B1 & Below",">100 - 300","144.47","Q4 2017"
"372","01","B1 & Below",">300","NA","Q4 2017"
"373","01","Level 1","30 & Below","155.17","Q4 2017"
"374","01","Level 1",">30 - 100","134.53","Q4 2017"
"375","01","Level 1",">100 - 300","106.83","Q4 2017"
"376","01","Level 1",">300","NA","Q4 2017"
"377","01","Level 2 & 3","30 & Below","100.00","Q4 2017"
"378","01","Level 2 & 3",">30 - 100","106.58","Q4 2017"
"379","01","Level 2 & 3",">100 - 300","66.62","Q4 2017"
"380","01","Level 2 & 3",">300","69.81","Q4 2017"
"381","01","Level 4 & Above","30 & Below","111.54","Q4 2017"
"382","01","Level 4 & Above",">30 - 100","69.09","Q4 2017"
"383","01","Level 4 & Above",">100 - 300","88.69","Q4 2017"
"384","01","Level 4 & Above",">300","NA","Q4 2017"
"385","01","B1 & Below","30 & Below","362.50","Q1 2018"
"386","01","B1 & Below",">30 - 100","111.85","Q1 2018"
"387","01","B1 & Below",">100 - 300","84.37","Q1 2018"
"388","01","B1 & Below",">300","NA","Q1 2018"
"389","01","Level 1","30 & Below","260.29","Q1 2018"
"390","01","Level 1",">30 - 100","162.68","Q1 2018"
"391","01","Level 1",">100 - 300","123.79","Q1 2018"
"392","01","Level 1",">300","121.63","Q1 2018"
"393","01","Level 2 & 3","30 & Below","106.72","Q1 2018"
"394","01","Level 2 & 3",">30 - 100","99.40","Q1 2018"
"395","01","Level 2 & 3",">100 - 300","84.31","Q1 2018"
"396","01","Level 2 & 3",">300","76.44","Q1 2018"
"397","01","Level 4 & Above","30 & Below","NA","Q1 2018"
"398","01","Level 4 & Above",">30 - 100","77.59","Q1 2018"
"399","01","Level 4 & Above",">100 - 300","96.86","Q1 2018"
"400","01","Level 4 & Above",">300","NA","Q1 2018"
"401","01","B1 & Below","30 & Below","147.63","Q2 2018"
"402","01","B1 & Below",">30 - 100","117.65","Q2 2018"
"403","01","B1 & Below",">100 - 300","139.91","Q2 2018"
"404","01","B1 & Below",">300","NA","Q2 2018"
"405","01","Level 1","30 & Below","118.43","Q2 2018"
"406","01","Level 1",">30 - 100","161.38","Q2 2018"
"407","01","Level 1",">100 - 300","112.86","Q2 2018"
"408","01","Level 1",">300","NA","Q2 2018"
"409","01","Level 2 & 3","30 & Below","111.94","Q2 2018"
"410","01","Level 2 & 3",">30 - 100","101.65","Q2 2018"
"411","01","Level 2 & 3",">100 - 300","88.91","Q2 2018"
"412","01","Level 2 & 3",">300","75.35","Q2 2018"
"413","01","Level 4 & Above","30 & Below","107.67","Q2 2018"
"414","01","Level 4 & Above",">30 - 100","71.43","Q2 2018"
"415","01","Level 4 & Above",">100 - 300","80.53","Q2 2018"
"416","01","Level 4 & Above",">300","NA","Q2 2018"
"417","01","B1 & Below","30 & Below","107.14","Q3 2018"
"418","01","B1 & Below",">30 - 100","81.06","Q3 2018"
"419","01","B1 & Below",">100 - 300","131.44","Q3 2018"
"420","01","B1 & Below",">300","NA","Q3 2018"
"421","01","Level 1","30 & Below","237.60","Q3 2018"
"422","01","Level 1",">30 - 100","161.35","Q3 2018"
"423","01","Level 1",">100 - 300","73.62","Q3 2018"
"424","01","Level 1",">300","115.71","Q3 2018"
"425","01","Level 2 & 3","30 & Below","94.74","Q3 2018"
"426","01","Level 2 & 3",">30 - 100","115.70","Q3 2018"
"427","01","Level 2 & 3",">100 - 300","89.97","Q3 2018"
"428","01","Level 2 & 3",">300","74.28","Q3 2018"
"429","01","Level 4 & Above","30 & Below","100.90","Q3 2018"
"430","01","Level 4 & Above",">30 - 100","72.41","Q3 2018"
"431","01","Level 4 & Above",">100 - 300","86.15","Q3 2018"
"432","01","Level 4 & Above",">300","NA","Q3 2018"
"433","01","B1 & Below","30 & Below","212.04","Q4 2018"
"434","01","B1 & Below",">30 - 100","129.17","Q4 2018"
"435","01","B1 & Below",">100 - 300","188.86","Q4 2018"
"436","01","B1 & Below",">300","121.34","Q4 2018"
"437","01","Level 1","30 & Below","145.82","Q4 2018"
"438","01","Level 1",">30 - 100","186.61","Q4 2018"
"439","01","Level 1",">100 - 300","145.31","Q4 2018"
"440","01","Level 1",">300","82.55","Q4 2018"
"441","01","Level 2 & 3","30 & Below","108.17","Q4 2018"
"442","01","Level 2 & 3",">30 - 100","78.79","Q4 2018"
"443","01","Level 2 & 3",">100 - 300","76.58","Q4 2018"
"444","01","Level 2 & 3",">300","77.09","Q4 2018"
"445","01","Level 4 & Above","30 & Below","NA","Q4 2018"
"446","01","Level 4 & Above",">30 - 100","68.10","Q4 2018"
"447","01","Level 4 & Above",">100 - 300","80.15","Q4 2018"
"448","01","Level 4 & Above",">300","NA","Q4 2018"
"449","01","B1 & Below","30 & Below","192.85","Q1 2019"
"450","01","B1 & Below",">30 - 100","113.42","Q1 2019"
